,cluster,common_words
0,0,"wood, aging, wine, fruit, wood aging, drink, tannin, rich, ripe, black"
0,1,"black, cherry, black cherry, palate, tannin, aroma, alongside, pepper, offer, spice"
0,2,"white, apple, peach, palate, aroma, lemon, citrus, finish, lime, acidity"
0,3,"sweet, pineapple, flavor, chardonnay, apricot, wine, honey, peach, acidity, tropical"
0,4,"wine, drink, acidity, fruit, ripe, fruity, character, ready, ready drink, tannin"
0,5,"medium, medium bodied, bodied, wine, bodied wine, finish, flavor, aroma, cherry, fruit"
0,6,"berry, finish, flavor, aroma, plum, herbal, feel, palate, fruit, note"
0,7,"cherry, raspberry, pinot, wine, flavor, fruit, light, red, noir, pinot noir"
0,8,"red fruit, red, fruit, wine, acidity, flavor, tannin, drink, aroma, fruit flavor"
0,9,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, merlot cabernet, petit verdot"
0,10,"full bodied, bodied, full, wine, flavor, full bodied wine, bodied wine, fruit, ripe, rich"
0,11,"pear, citrus, lemon, palate, apple, nose, flavor, fresh, finish, blanc"
0,12,"blackberry, wine, tannin, flavor, black, chocolate, fruit, dark, oak, cherry"
