,country,clusters,total
0,Argentina,0,0.01
1,Argentina,1,0.03
2,Argentina,2,0.01
3,Argentina,3,0.0
4,Argentina,4,0.0
5,Argentina,5,0.01
6,Argentina,6,0.0
7,Argentina,7,0.02
8,Argentina,8,0.01
9,Argentina,9,0.0
10,Argentina,10,0.0
11,Argentina,11,0.04
12,Argentina,12,0.01
13,Argentina,13,0.03
14,Argentina,14,0.0
15,Argentina,15,0.13
16,Argentina,16,0.01
17,Argentina,17,0.03
18,Argentina,18,0.02
19,Argentina,19,0.03
20,Argentina,20,0.02
21,Argentina,21,0.24
22,Argentina,22,0.03
23,Argentina,23,0.0
24,Armenia,0,0.0
25,Armenia,1,0.0
26,Armenia,2,0.0
27,Armenia,3,0.0
28,Armenia,4,0.0
29,Armenia,5,0.0
30,Armenia,6,0.0
31,Armenia,7,0.0
32,Armenia,8,0.0
33,Armenia,9,0.0
34,Armenia,10,0.0
35,Armenia,11,0.0
36,Armenia,12,0.0
37,Armenia,13,0.0
38,Armenia,14,0.0
39,Armenia,15,0.0
40,Armenia,16,0.0
41,Armenia,17,0.0
42,Armenia,18,0.0
43,Armenia,19,0.0
44,Armenia,20,0.0
45,Armenia,21,0.0
46,Armenia,22,0.0
47,Armenia,23,0.0
48,Australia,0,0.07
49,Australia,1,0.02
50,Australia,2,0.03
51,Australia,3,0.0
52,Australia,4,0.0
53,Australia,5,0.0
54,Australia,6,0.0
55,Australia,7,0.01
56,Australia,8,0.01
57,Australia,9,0.0
58,Australia,10,0.0
59,Australia,11,0.01
60,Australia,12,0.09
61,Australia,13,0.01
62,Australia,14,0.0
63,Australia,15,0.01
64,Australia,16,0.02
65,Australia,17,0.01
66,Australia,18,0.03
67,Australia,19,0.01
68,Australia,20,0.01
69,Australia,21,0.0
70,Australia,22,0.01
71,Australia,23,0.0
72,Austria,0,0.01
73,Austria,1,0.08
74,Austria,2,0.01
75,Austria,3,0.07
76,Austria,4,0.03
77,Austria,5,0.02
78,Austria,6,0.0
79,Austria,7,0.0
80,Austria,8,0.03
81,Austria,9,0.02
82,Austria,10,0.0
83,Austria,11,0.01
84,Austria,12,0.01
85,Austria,13,0.04
86,Austria,14,0.0
87,Austria,15,0.0
88,Austria,16,0.01
89,Austria,17,0.01
90,Austria,18,0.01
91,Austria,19,0.0
92,Austria,20,0.01
93,Austria,21,0.0
94,Austria,22,0.02
95,Austria,23,0.04
96,Bosnia and Herzegovina,0,0.0
97,Bosnia and Herzegovina,1,0.0
98,Bosnia and Herzegovina,2,0.0
99,Bosnia and Herzegovina,3,0.0
100,Bosnia and Herzegovina,4,0.0
101,Bosnia and Herzegovina,5,0.0
102,Bosnia and Herzegovina,6,0.0
103,Bosnia and Herzegovina,7,0.0
104,Bosnia and Herzegovina,8,0.0
105,Bosnia and Herzegovina,9,0.0
106,Bosnia and Herzegovina,10,0.0
107,Bosnia and Herzegovina,11,0.0
108,Bosnia and Herzegovina,12,0.0
109,Bosnia and Herzegovina,13,0.0
110,Bosnia and Herzegovina,14,0.0
111,Bosnia and Herzegovina,15,0.0
112,Bosnia and Herzegovina,16,0.0
113,Bosnia and Herzegovina,17,0.0
114,Bosnia and Herzegovina,18,0.0
115,Bosnia and Herzegovina,19,0.0
116,Bosnia and Herzegovina,20,0.0
117,Bosnia and Herzegovina,21,0.0
118,Bosnia and Herzegovina,22,0.0
119,Bosnia and Herzegovina,23,0.0
120,Brazil,0,0.0
121,Brazil,1,0.0
122,Brazil,2,0.0
123,Brazil,3,0.0
124,Brazil,4,0.0
125,Brazil,5,0.0
126,Brazil,6,0.0
127,Brazil,7,0.0
128,Brazil,8,0.0
129,Brazil,9,0.0
130,Brazil,10,0.0
131,Brazil,11,0.0
132,Brazil,12,0.0
133,Brazil,13,0.0
134,Brazil,14,0.0
135,Brazil,15,0.0
136,Brazil,16,0.0
137,Brazil,17,0.0
138,Brazil,18,0.0
139,Brazil,19,0.0
140,Brazil,20,0.0
141,Brazil,21,0.0
142,Brazil,22,0.0
143,Brazil,23,0.0
144,Bulgaria,0,0.0
145,Bulgaria,1,0.0
146,Bulgaria,2,0.0
147,Bulgaria,3,0.0
148,Bulgaria,4,0.0
149,Bulgaria,5,0.0
150,Bulgaria,6,0.0
151,Bulgaria,7,0.0
152,Bulgaria,8,0.0
153,Bulgaria,9,0.0
154,Bulgaria,10,0.0
155,Bulgaria,11,0.0
156,Bulgaria,12,0.0
157,Bulgaria,13,0.0
158,Bulgaria,14,0.0
159,Bulgaria,15,0.0
160,Bulgaria,16,0.0
161,Bulgaria,17,0.0
162,Bulgaria,18,0.0
163,Bulgaria,19,0.0
164,Bulgaria,20,0.01
165,Bulgaria,21,0.0
166,Bulgaria,22,0.0
167,Bulgaria,23,0.0
168,Canada,0,0.0
