,K_number,Distorcions
0,2,109661.36680222157
1,3,108698.42769504178
2,4,107975.24901908301
3,5,107526.8038316724
4,6,106882.25336698868
5,7,106337.124770075
6,8,106015.01614360162
7,9,106004.48553374788
8,10,105650.85132647229
9,11,104994.19141500644
10,12,104709.91252467319
11,13,104791.92995504102
12,14,104265.37324365441
13,15,104072.59818189754
14,16,103327.44022395388
15,17,103297.8733257305
16,18,103330.31445956345
17,19,103086.98216706996
18,20,102990.18145535691
19,21,103141.58072632767
20,22,102476.73618170111
21,23,102144.13567946012
22,24,101948.58706002525
