,country,variety,harvest,rating_cat,price,points,wineries,reviews
0,Argentina,Barbera,2009,1,18.0,85.0,1,1
1,Argentina,Bonarda,2005,1,12.0,83.0,1,1
2,Argentina,Bonarda,2006,1,13.5,84.0,2,2
3,Argentina,Bonarda,2006,2,14.0,87.5,2,2
4,Argentina,Bonarda,2007,0,10.0,81.0,1,1
5,Argentina,Bonarda,2007,1,11.8,84.2,5,5
6,Argentina,Bonarda,2007,2,19.5,89.0,2,2
7,Argentina,Bonarda,2007,3,10.0,90.0,1,1
8,Argentina,Bonarda,2008,0,14.0,80.0,1,1
9,Argentina,Bonarda,2008,1,18.25,85.0,4,4
10,Argentina,Bonarda,2008,2,12.5,87.25,4,4
11,Argentina,Bonarda,2008,3,17.0,90.0,1,1
12,Argentina,Bonarda,2009,0,10.0,81.5,2,2
13,Argentina,Bonarda,2009,1,18.75,84.5,3,4
14,Argentina,Bonarda,2009,2,13.8,88.2,5,5
15,Argentina,Bonarda,2009,3,15.0,90.0,1,1
16,Argentina,Bonarda,2010,0,34.0,82.0,1,1
17,Argentina,Bonarda,2010,1,12.75,85.0,4,4
18,Argentina,Bonarda,2010,2,17.5,88.0,8,8
19,Argentina,Bonarda,2011,1,12.666666666666666,85.66666666666667,3,3
20,Argentina,Bonarda,2011,2,17.5,89.0,2,2
21,Argentina,Bonarda,2011,3,25.0,92.0,1,1
22,Argentina,Bonarda,2012,0,13.0,80.0,1,1
23,Argentina,Bonarda,2012,1,15.4,85.0,3,5
24,Argentina,Bonarda,2012,2,18.88888888888889,87.88888888888889,6,9
25,Argentina,Bonarda,2012,3,30.0,91.0,1,2
26,Argentina,Bonarda,2013,0,15.0,82.0,1,1
27,Argentina,Bonarda,2013,1,15.25,85.0,4,4
28,Argentina,Bonarda,2013,2,26.25,87.0,2,4
29,Argentina,Bonarda,2014,1,13.666666666666666,84.66666666666667,3,3
30,Argentina,Bonarda,2014,2,21.0,88.57142857142857,6,7
31,Argentina,Bonarda,2014,3,15.0,90.0,1,2
32,Argentina,Bonarda,2015,0,14.5,81.5,2,2
33,Argentina,Bonarda,2015,1,14.0,85.5,2,2
34,Argentina,Bonarda,2015,2,16.833333333333332,88.33333333333333,5,6
35,Argentina,Bordeaux-style Red Blend,2004,1,39.0,86.0,1,1
36,Argentina,Bordeaux-style Red Blend,2004,3,69.5,92.33333333333333,3,3
37,Argentina,Bordeaux-style Red Blend,2005,3,54.0,91.2,4,5
38,Argentina,Bordeaux-style Red Blend,2006,1,20.0,86.0,1,2
39,Argentina,Bordeaux-style Red Blend,2006,3,20.0,90.0,1,1
40,Argentina,Bordeaux-style Red Blend,2007,1,14.0,85.0,1,2
41,Argentina,Bordeaux-style Red Blend,2007,2,52.5,88.5,2,2
42,Argentina,Bordeaux-style Red Blend,2007,3,16.0,90.0,1,1
43,Argentina,Bordeaux-style Red Blend,2007,4,62.0,95.0,1,1
44,Argentina,Bordeaux-style Red Blend,2008,1,12.0,84.0,1,1
45,Argentina,Bordeaux-style Red Blend,2008,2,29.0,87.5,2,2
46,Argentina,Bordeaux-style Red Blend,2008,3,50.0,90.0,1,1
47,Argentina,Bordeaux-style Red Blend,2009,2,16.0,89.0,1,1
48,Argentina,Bordeaux-style Red Blend,2009,3,40.6,91.6,4,5
49,Argentina,Bordeaux-style Red Blend,2009,4,50.0,96.0,1,1
50,Argentina,Bordeaux-style Red Blend,2010,0,22.0,81.0,2,2
51,Argentina,Bordeaux-style Red Blend,2010,2,28.0,87.33333333333333,5,6
52,Argentina,Bordeaux-style Red Blend,2010,3,38.57142857142857,91.0,6,7
53,Argentina,Bordeaux-style Red Blend,2011,1,42.5,86.0,2,2
54,Argentina,Bordeaux-style Red Blend,2011,2,25.0,87.0,1,2
55,Argentina,Bordeaux-style Red Blend,2011,3,36.25,91.75,7,8
56,Argentina,Bordeaux-style Red Blend,2012,1,10.0,85.0,1,1
57,Argentina,Bordeaux-style Red Blend,2012,2,20.0,88.0,1,1
58,Argentina,Bordeaux-style Red Blend,2012,3,61.5,91.83333333333333,11,12
59,Argentina,Bordeaux-style Red Blend,2013,1,15.0,84.0,1,1
60,Argentina,Bordeaux-style Red Blend,2013,2,30.0,88.5,2,2
61,Argentina,Bordeaux-style Red Blend,2013,3,53.22222222222222,91.77777777777777,9,9
62,Argentina,Bordeaux-style Red Blend,2014,1,21.0,84.5,2,2
63,Argentina,Bordeaux-style Red Blend,2014,3,37.666666666666664,91.66666666666667,3,3
64,Argentina,Bordeaux-style White Blend,2009,1,14.0,83.0,1,1
65,Argentina,Cabernet Blend,2004,2,35.0,87.0,1,1
66,Argentina,Cabernet Blend,2007,3,30.0,90.0,1,1
67,Argentina,Cabernet Blend,2008,1,30.0,86.0,1,1
68,Argentina,Cabernet Blend,2010,2,18.0,89.0,1,1
69,Argentina,Cabernet Blend,2013,2,61.0,88.0,1,2
70,Argentina,Cabernet Blend,2014,1,17.0,85.0,1,1
71,Argentina,Cabernet Blend,2014,3,38.0,93.0,1,1
72,Argentina,Cabernet Franc,2006,2,45.0,89.0,1,1
73,Argentina,Cabernet Franc,2007,1,50.0,86.0,1,1
74,Argentina,Cabernet Franc,2008,1,40.0,83.0,1,1
75,Argentina,Cabernet Franc,2008,2,50.0,88.33333333333333,2,3
76,Argentina,Cabernet Franc,2010,1,34.0,85.0,1,1
77,Argentina,Cabernet Franc,2010,3,86.25,91.25,2,4
78,Argentina,Cabernet Franc,2011,2,50.0,88.0,2,2
79,Argentina,Cabernet Franc,2011,3,58.2,91.2,6,10
80,Argentina,Cabernet Franc,2012,2,18.0,88.0,1,1
81,Argentina,Cabernet Franc,2012,3,42.6,91.2,3,5
82,Argentina,Cabernet Franc,2013,1,15.5,84.0,2,2
83,Argentina,Cabernet Franc,2013,2,32.333333333333336,87.33333333333333,2,3
84,Argentina,Cabernet Franc,2013,3,40.3,91.0,8,10
85,Argentina,Cabernet Franc,2014,1,25.0,85.33333333333333,3,3
86,Argentina,Cabernet Franc,2014,2,21.0,88.5,2,2
87,Argentina,Cabernet Franc,2014,3,70.71428571428571,90.85714285714286,4,7
88,Argentina,Cabernet Franc,2015,2,21.0,87.75,4,4
89,Argentina,Cabernet Franc,2015,3,30.0,91.0,1,1
90,Argentina,Cabernet Franc-Cabernet Sauvignon,2009,1,17.0,85.0,1,1
91,Argentina,Cabernet Franc-Cabernet Sauvignon,2013,4,90.0,94.0,1,1
92,Argentina,Cabernet Franc-Cabernet Sauvignon,2014,2,15.0,87.0,1,1
93,Argentina,Cabernet Franc-Malbec,2012,3,38.0,91.0,1,2
94,Argentina,Cabernet Franc-Malbec,2013,3,79.0,91.0,2,2
95,Argentina,Cabernet Sauvignon,2004,0,11.0,82.0,1,1
96,Argentina,Cabernet Sauvignon,2004,1,19.5,85.5,2,2
97,Argentina,Cabernet Sauvignon,2004,2,39.5,88.25,4,4
98,Argentina,Cabernet Sauvignon,2005,1,18.142857142857142,85.0,7,7
99,Argentina,Cabernet Sauvignon,2005,2,20.5,89.0,2,2
100,Argentina,Cabernet Sauvignon,2006,0,13.142857142857142,81.28571428571429,7,7
101,Argentina,Cabernet Sauvignon,2006,1,15.05,84.65,16,20
102,Argentina,Cabernet Sauvignon,2006,2,16.714285714285715,87.14285714285714,7,7
103,Argentina,Cabernet Sauvignon,2006,3,55.0,90.0,1,1
104,Argentina,Cabernet Sauvignon,2007,0,9.0,82.0,1,1
105,Argentina,Cabernet Sauvignon,2007,1,12.590909090909092,84.45454545454545,19,22
106,Argentina,Cabernet Sauvignon,2007,2,22.0625,88.0625,14,16
107,Argentina,Cabernet Sauvignon,2007,3,24.0,90.0,2,2
