,country,province,region_1,variety,price
0,Argentina,Mendoza Province,Agrelo,Bonarda,7
1,Argentina,Mendoza Province,Agrelo,Bordeaux-style Red Blend,2
2,Argentina,Mendoza Province,Agrelo,Cabernet Franc,5
3,Argentina,Mendoza Province,Agrelo,Cabernet Sauvignon,12
4,Argentina,Mendoza Province,Agrelo,Chardonnay,2
5,Argentina,Mendoza Province,Agrelo,Malbec,18
6,Argentina,Mendoza Province,Agrelo,Petit Verdot,2
7,Argentina,Mendoza Province,Agrelo,Red Blend,2
8,Argentina,Mendoza Province,Altos de Mendoza,Malbec,1
9,Argentina,Mendoza Province,La Consulta,Bordeaux-style Red Blend,1
10,Argentina,Mendoza Province,La Consulta,Cabernet Franc,1
11,Argentina,Mendoza Province,La Consulta,Cabernet Sauvignon,6
12,Argentina,Mendoza Province,La Consulta,Malbec,31
13,Argentina,Mendoza Province,La Consulta,Petit Verdot,2
14,Argentina,Mendoza Province,La Consulta,Pinot Noir,3
15,Argentina,Mendoza Province,La Consulta,Red Blend,2
16,Argentina,Mendoza Province,La Consulta,Tempranillo,2
17,Argentina,Mendoza Province,Luján de Cuyo,Bonarda,3
18,Argentina,Mendoza Province,Luján de Cuyo,Bordeaux-style Red Blend,5
19,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Blend,3
20,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Franc,1
21,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Sauvignon,29
22,Argentina,Mendoza Province,Luján de Cuyo,Chardonnay,2
23,Argentina,Mendoza Province,Luján de Cuyo,Malbec,97
24,Argentina,Mendoza Province,Luján de Cuyo,Malbec Blend,1
25,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet,1
26,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet Franc,1
27,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet Sauvignon,5
28,Argentina,Mendoza Province,Luján de Cuyo,Nebbiolo,4
29,Argentina,Mendoza Province,Luján de Cuyo,Petit Verdot,1
30,Argentina,Mendoza Province,Luján de Cuyo,Red Blend,9
31,Argentina,Mendoza Province,Luján de Cuyo,Riesling,2
32,Argentina,Mendoza Province,Luján de Cuyo,Rosé,3
33,Argentina,Mendoza Province,Luján de Cuyo,Sauvignon Blanc,2
34,Argentina,Mendoza Province,Luján de Cuyo,Syrah,3
35,Argentina,Mendoza Province,Luján de Cuyo,Torrontés,3
36,Argentina,Mendoza Province,Luján de Cuyo,Viognier,2
37,Argentina,Mendoza Province,Luján de Cuyo,White Blend,3
38,Argentina,Mendoza Province,Maipú,Bonarda,1
39,Argentina,Mendoza Province,Maipú,Cabernet Sauvignon,5
40,Argentina,Mendoza Province,Maipú,Chardonnay,2
41,Argentina,Mendoza Province,Maipú,Malbec,8
42,Argentina,Mendoza Province,Maipú,Merlot,1
43,Argentina,Mendoza Province,Maipú,Pinot Noir,3
44,Argentina,Mendoza Province,Maipú,Torrontés,3
45,Argentina,Mendoza Province,Maipú,White Blend,1
46,Argentina,Mendoza Province,Medrano,Malbec,1
47,Argentina,Mendoza Province,Mendoza,Bonarda,86
48,Argentina,Mendoza Province,Mendoza,Bordeaux-style Red Blend,57
49,Argentina,Mendoza Province,Mendoza,Bordeaux-style White Blend,1
50,Argentina,Mendoza Province,Mendoza,Cabernet Blend,5
51,Argentina,Mendoza Province,Mendoza,Cabernet Franc,34
52,Argentina,Mendoza Province,Mendoza,Cabernet Franc-Cabernet Sauvignon,2
53,Argentina,Mendoza Province,Mendoza,Cabernet Franc-Malbec,4
54,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon,350
55,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Malbec,10
56,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Merlot,1
57,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Shiraz,1
58,Argentina,Mendoza Province,Mendoza,Cabernet-Malbec,1
59,Argentina,Mendoza Province,Mendoza,Cabernet-Syrah,1
