,country,province,region_1,variety,price
0,Argentina,Mendoza Province,Agrelo,Bonarda,17.857142857142858
1,Argentina,Mendoza Province,Agrelo,Bordeaux-style Red Blend,34.5
2,Argentina,Mendoza Province,Agrelo,Cabernet Franc,40.8
3,Argentina,Mendoza Province,Agrelo,Cabernet Sauvignon,20.25
4,Argentina,Mendoza Province,Agrelo,Chardonnay,15.0
5,Argentina,Mendoza Province,Agrelo,Malbec,32.94444444444444
6,Argentina,Mendoza Province,Agrelo,Petit Verdot,39.0
7,Argentina,Mendoza Province,Agrelo,Red Blend,59.5
8,Argentina,Mendoza Province,Altos de Mendoza,Malbec,35.0
9,Argentina,Mendoza Province,La Consulta,Bordeaux-style Red Blend,20.0
10,Argentina,Mendoza Province,La Consulta,Cabernet Franc,15.0
11,Argentina,Mendoza Province,La Consulta,Cabernet Sauvignon,35.5
12,Argentina,Mendoza Province,La Consulta,Malbec,49.83870967741935
13,Argentina,Mendoza Province,La Consulta,Petit Verdot,35.0
14,Argentina,Mendoza Province,La Consulta,Pinot Noir,21.333333333333332
15,Argentina,Mendoza Province,La Consulta,Red Blend,41.5
16,Argentina,Mendoza Province,La Consulta,Tempranillo,19.0
17,Argentina,Mendoza Province,Luján de Cuyo,Bonarda,12.333333333333334
18,Argentina,Mendoza Province,Luján de Cuyo,Bordeaux-style Red Blend,42.4
19,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Blend,51.666666666666664
20,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Franc,40.0
21,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Sauvignon,30.20689655172414
22,Argentina,Mendoza Province,Luján de Cuyo,Chardonnay,16.5
23,Argentina,Mendoza Province,Luján de Cuyo,Malbec,36.34020618556701
24,Argentina,Mendoza Province,Luján de Cuyo,Malbec Blend,95.0
25,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet,165.0
26,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet Franc,20.0
27,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet Sauvignon,79.0
28,Argentina,Mendoza Province,Luján de Cuyo,Nebbiolo,64.0
29,Argentina,Mendoza Province,Luján de Cuyo,Petit Verdot,75.0
30,Argentina,Mendoza Province,Luján de Cuyo,Red Blend,22.555555555555557
31,Argentina,Mendoza Province,Luján de Cuyo,Riesling,15.0
32,Argentina,Mendoza Province,Luján de Cuyo,Rosé,17.0
33,Argentina,Mendoza Province,Luján de Cuyo,Sauvignon Blanc,42.0
34,Argentina,Mendoza Province,Luján de Cuyo,Syrah,13.0
35,Argentina,Mendoza Province,Luján de Cuyo,Torrontés,11.666666666666666
36,Argentina,Mendoza Province,Luján de Cuyo,Viognier,10.5
37,Argentina,Mendoza Province,Luján de Cuyo,White Blend,30.0
38,Argentina,Mendoza Province,Maipú,Bonarda,12.0
39,Argentina,Mendoza Province,Maipú,Cabernet Sauvignon,16.8
40,Argentina,Mendoza Province,Maipú,Chardonnay,14.0
41,Argentina,Mendoza Province,Maipú,Malbec,16.75
42,Argentina,Mendoza Province,Maipú,Merlot,11.0
43,Argentina,Mendoza Province,Maipú,Pinot Noir,20.333333333333332
44,Argentina,Mendoza Province,Maipú,Torrontés,10.666666666666666
45,Argentina,Mendoza Province,Maipú,White Blend,36.0
46,Argentina,Mendoza Province,Medrano,Malbec,112.0
47,Argentina,Mendoza Province,Mendoza,Bonarda,16.511627906976745
48,Argentina,Mendoza Province,Mendoza,Bordeaux-style Red Blend,38.89473684210526
49,Argentina,Mendoza Province,Mendoza,Bordeaux-style White Blend,14.0
50,Argentina,Mendoza Province,Mendoza,Cabernet Blend,27.0
51,Argentina,Mendoza Province,Mendoza,Cabernet Franc,53.8235294117647
52,Argentina,Mendoza Province,Mendoza,Cabernet Franc-Cabernet Sauvignon,52.5
53,Argentina,Mendoza Province,Mendoza,Cabernet Franc-Malbec,58.5
54,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon,17.285714285714285
55,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Malbec,42.0
56,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Merlot,13.0
57,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Shiraz,9.0
58,Argentina,Mendoza Province,Mendoza,Cabernet-Malbec,11.0
59,Argentina,Mendoza Province,Mendoza,Cabernet-Syrah,16.0
60,Argentina,Mendoza Province,Mendoza,Champagne Blend,21.2
61,Argentina,Mendoza Province,Mendoza,Chardonnay,17.410526315789475
62,Argentina,Mendoza Province,Mendoza,Chardonnay-Sauvignon,12.5
63,Argentina,Mendoza Province,Mendoza,Chardonnay-Semillon,13.0
64,Argentina,Mendoza Province,Mendoza,Chardonnay-Viognier,16.666666666666668
65,Argentina,Mendoza Province,Mendoza,Chenin Blanc,14.0
66,Argentina,Mendoza Province,Mendoza,Chenin Blanc-Chardonnay,11.0
67,Argentina,Mendoza Province,Mendoza,Malbec,25.063236870310824
68,Argentina,Mendoza Province,Mendoza,Malbec Blend,38.0
69,Argentina,Mendoza Province,Mendoza,Malbec-Bonarda,14.0
70,Argentina,Mendoza Province,Mendoza,Malbec-Cabernet,130.0
71,Argentina,Mendoza Province,Mendoza,Malbec-Cabernet Franc,57.0
72,Argentina,Mendoza Province,Mendoza,Malbec-Cabernet Sauvignon,36.5
73,Argentina,Mendoza Province,Mendoza,Malbec-Merlot,11.333333333333334
74,Argentina,Mendoza Province,Mendoza,Malbec-Petit Verdot,30.0
