,country,province,region_1,variety,points
0,Argentina,Mendoza Province,Agrelo,Bonarda,88.57142857142857
1,Argentina,Mendoza Province,Agrelo,Bordeaux-style Red Blend,85.5
2,Argentina,Mendoza Province,Agrelo,Cabernet Franc,90.0
3,Argentina,Mendoza Province,Agrelo,Cabernet Sauvignon,86.91666666666667
4,Argentina,Mendoza Province,Agrelo,Chardonnay,84.5
5,Argentina,Mendoza Province,Agrelo,Malbec,89.27777777777777
6,Argentina,Mendoza Province,Agrelo,Petit Verdot,90.0
7,Argentina,Mendoza Province,Agrelo,Red Blend,92.0
8,Argentina,Mendoza Province,Altos de Mendoza,Malbec,86.0
9,Argentina,Mendoza Province,La Consulta,Bordeaux-style Red Blend,88.0
10,Argentina,Mendoza Province,La Consulta,Cabernet Franc,87.0
11,Argentina,Mendoza Province,La Consulta,Cabernet Sauvignon,87.0
12,Argentina,Mendoza Province,La Consulta,Malbec,90.06451612903226
13,Argentina,Mendoza Province,La Consulta,Petit Verdot,89.0
14,Argentina,Mendoza Province,La Consulta,Pinot Noir,85.33333333333333
15,Argentina,Mendoza Province,La Consulta,Red Blend,91.5
16,Argentina,Mendoza Province,La Consulta,Tempranillo,85.0
17,Argentina,Mendoza Province,Luján de Cuyo,Bonarda,85.66666666666667
18,Argentina,Mendoza Province,Luján de Cuyo,Bordeaux-style Red Blend,90.4
19,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Blend,88.33333333333333
20,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Franc,83.0
21,Argentina,Mendoza Province,Luján de Cuyo,Cabernet Sauvignon,87.06896551724138
22,Argentina,Mendoza Province,Luján de Cuyo,Chardonnay,83.5
23,Argentina,Mendoza Province,Luján de Cuyo,Malbec,88.82474226804123
24,Argentina,Mendoza Province,Luján de Cuyo,Malbec Blend,89.0
25,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet,93.0
26,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet Franc,86.0
27,Argentina,Mendoza Province,Luján de Cuyo,Malbec-Cabernet Sauvignon,90.6
28,Argentina,Mendoza Province,Luján de Cuyo,Nebbiolo,88.75
29,Argentina,Mendoza Province,Luján de Cuyo,Petit Verdot,92.0
30,Argentina,Mendoza Province,Luján de Cuyo,Red Blend,89.0
31,Argentina,Mendoza Province,Luján de Cuyo,Riesling,86.0
32,Argentina,Mendoza Province,Luján de Cuyo,Rosé,83.33333333333333
33,Argentina,Mendoza Province,Luján de Cuyo,Sauvignon Blanc,87.0
34,Argentina,Mendoza Province,Luján de Cuyo,Syrah,86.0
35,Argentina,Mendoza Province,Luján de Cuyo,Torrontés,84.0
36,Argentina,Mendoza Province,Luján de Cuyo,Viognier,85.5
37,Argentina,Mendoza Province,Luján de Cuyo,White Blend,84.0
38,Argentina,Mendoza Province,Maipú,Bonarda,83.0
39,Argentina,Mendoza Province,Maipú,Cabernet Sauvignon,85.4
40,Argentina,Mendoza Province,Maipú,Chardonnay,83.5
41,Argentina,Mendoza Province,Maipú,Malbec,87.0
42,Argentina,Mendoza Province,Maipú,Merlot,84.0
43,Argentina,Mendoza Province,Maipú,Pinot Noir,85.33333333333333
44,Argentina,Mendoza Province,Maipú,Torrontés,82.0
45,Argentina,Mendoza Province,Maipú,White Blend,81.0
46,Argentina,Mendoza Province,Medrano,Malbec,88.0
47,Argentina,Mendoza Province,Mendoza,Bonarda,86.5
48,Argentina,Mendoza Province,Mendoza,Bordeaux-style Red Blend,89.91666666666667
49,Argentina,Mendoza Province,Mendoza,Bordeaux-style White Blend,83.0
50,Argentina,Mendoza Province,Mendoza,Cabernet Blend,88.2
51,Argentina,Mendoza Province,Mendoza,Cabernet Franc,90.29411764705883
52,Argentina,Mendoza Province,Mendoza,Cabernet Franc-Cabernet Sauvignon,90.5
53,Argentina,Mendoza Province,Mendoza,Cabernet Franc-Malbec,91.0
54,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon,86.07365439093485
55,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Malbec,86.4
56,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Merlot,85.0
57,Argentina,Mendoza Province,Mendoza,Cabernet Sauvignon-Shiraz,88.0
58,Argentina,Mendoza Province,Mendoza,Cabernet-Malbec,86.0
59,Argentina,Mendoza Province,Mendoza,Cabernet-Syrah,88.0
60,Argentina,Mendoza Province,Mendoza,Champagne Blend,84.83333333333333
61,Argentina,Mendoza Province,Mendoza,Chardonnay,84.95833333333333
62,Argentina,Mendoza Province,Mendoza,Chardonnay-Sauvignon,84.5
63,Argentina,Mendoza Province,Mendoza,Chardonnay-Semillon,81.0
64,Argentina,Mendoza Province,Mendoza,Chardonnay-Viognier,85.16666666666667
65,Argentina,Mendoza Province,Mendoza,Chenin Blanc,84.0
66,Argentina,Mendoza Province,Mendoza,Chenin Blanc-Chardonnay,85.8
67,Argentina,Mendoza Province,Mendoza,Malbec,87.06588735387885
68,Argentina,Mendoza Province,Mendoza,Malbec Blend,92.0
69,Argentina,Mendoza Province,Mendoza,Malbec-Bonarda,87.0
70,Argentina,Mendoza Province,Mendoza,Malbec-Cabernet,93.0
71,Argentina,Mendoza Province,Mendoza,Malbec-Cabernet Franc,90.6
72,Argentina,Mendoza Province,Mendoza,Malbec-Cabernet Sauvignon,88.42105263157895
73,Argentina,Mendoza Province,Mendoza,Malbec-Merlot,84.33333333333333
74,Argentina,Mendoza Province,Mendoza,Malbec-Petit Verdot,91.0
75,Argentina,Mendoza Province,Mendoza,Malbec-Syrah,85.46153846153847
76,Argentina,Mendoza Province,Mendoza,Merlot,84.8157894736842
77,Argentina,Mendoza Province,Mendoza,Merlot-Cabernet Franc,87.0
78,Argentina,Mendoza Province,Mendoza,Moscatel,81.0
79,Argentina,Mendoza Province,Mendoza,Moscato,82.3
80,Argentina,Mendoza Province,Mendoza,Petit Verdot,87.0
81,Argentina,Mendoza Province,Mendoza,Pinot Grigio,83.66666666666667
82,Argentina,Mendoza Province,Mendoza,Pinot Gris,83.5
83,Argentina,Mendoza Province,Mendoza,Pinot Noir,84.79411764705883
84,Argentina,Mendoza Province,Mendoza,Red Blend,88.06164383561644
85,Argentina,Mendoza Province,Mendoza,Rosé,84.44444444444444
86,Argentina,Mendoza Province,Mendoza,Sangiovese,81.5
87,Argentina,Mendoza Province,Mendoza,Sauvignon Blanc,83.6774193548387
88,Argentina,Mendoza Province,Mendoza,Shiraz,84.0
89,Argentina,Mendoza Province,Mendoza,Shiraz-Malbec,90.0
90,Argentina,Mendoza Province,Mendoza,Sparkling Blend,83.86666666666666
91,Argentina,Mendoza Province,Mendoza,Syrah,85.6923076923077
92,Argentina,Mendoza Province,Mendoza,Syrah-Bonarda,87.0
93,Argentina,Mendoza Province,Mendoza,Syrah-Viognier,90.66666666666667
94,Argentina,Mendoza Province,Mendoza,Sémillon,83.58333333333333
95,Argentina,Mendoza Province,Mendoza,Tempranillo,83.6923076923077
96,Argentina,Mendoza Province,Mendoza,Tocai,85.0
97,Argentina,Mendoza Province,Mendoza,Torrontés,84.66315789473684
98,Argentina,Mendoza Province,Mendoza,Trebbiano,83.0
99,Argentina,Mendoza Province,Mendoza,Viognier,83.5
100,Argentina,Mendoza Province,Mendoza,White Blend,84.93333333333334
101,Argentina,Mendoza Province,Perdriel,Cabernet Sauvignon,90.8
102,Argentina,Mendoza Province,Perdriel,Chardonnay,88.8
103,Argentina,Mendoza Province,Perdriel,Malbec,90.52941176470588
104,Argentina,Mendoza Province,San Carlos,Cabernet Sauvignon,84.0
105,Argentina,Mendoza Province,San Carlos,Malbec,88.33333333333333
106,Argentina,Mendoza Province,San Rafael,Chardonnay,83.5
107,Argentina,Mendoza Province,Tupungato,Bordeaux-style Red Blend,91.28571428571429
108,Argentina,Mendoza Province,Tupungato,Cabernet Franc,88.63636363636364
109,Argentina,Mendoza Province,Tupungato,Cabernet Sauvignon,86.68571428571428
110,Argentina,Mendoza Province,Tupungato,Cabernet Sauvignon-Malbec,87.0
